,,,,,,,,,,,,,,,,,,,,,,,,,,,We,went,to,the,woman,who,had,spoken,and,from,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Because,of,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Because,of,her,character,because,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How,did,her
How,did,her,naked,body,withstand,the,indignity,of,passing,into,the,showers,of,death,under,a,rain,of,taunts,and,a,maze,of,cold,eyes,Did,she,submit,or,resist,Was,she,afraid,What,happened,to,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What,were,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What,were,her,thoughts,and,where,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How,many,more,like,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My,cousin,was,insane,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One,night,she,burst,in,on,us,her
,,,,,,,,,One,night,she,burst,in,on,us,her,eyes,as,wide,as,those,of,a,stricken,fawns,and,we,knew,at,once,that,the,word,had,come,to,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,with,fear,she,begged,us,to,hide,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We,knew,this,and,yet,we,hid,her
,,,,,,,,,,,,,,,,Down,she,scrambled,under,the,miserable,straw,infested,with,vermin,and,down,she,stayed,incredibly,unmoving,and,incredibly,stoically,silent,throughout,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,fell,at,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At,first,Erica,asked,What,is,her
,,,,,,,At,first,Erica,asked,What,is,her,number,and,then,she,said,Give,it,to,me,Only,later,did,I,realize,that,my,bare,bones,had,fallen,in,front,of,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My,sister,withstood,her
,,,,,,,,,,,,,,,,,,,,,,,,My,sister,withstood,her,ordeal,until,dawn,and,at,the,morning,roll,call,her
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica,had,saved,her
