,,,,,,,,,,,,,,,,,,,,,,Our,skepticism,had,collapsed,under,the,weight,of,reality,but,she
,,,,,,,,,,,She,held,herself,aloof,maintained,a,regal,distance,steeped,in,dignity,and,commanded,our,respect,by,virtue,of,the,very,posture,she
,,,,,,,,,,,,,,,,Because,of,her,character,because,her,breeding,and,bearing,were,of,a,single,fiber,and,because,she
,,,,,How,did,her,naked,body,withstand,the,indignity,of,passing,into,the,showers,of,death,under,a,rain,of,taunts,and,a,maze,of,cold,eyes,Did,she
How,did,her,naked,body,withstand,the,indignity,of,passing,into,the,showers,of,death,under,a,rain,of,taunts,and,a,maze,of,cold,eyes,Did,she,submit,or,resist,Was,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Had,she
,,,,,,,,,,,,,,,,,Had,she,been,broken,did,a,childs,heart,wail,through,the,womans,body,or,did,she
,,,,,,Had,she,been,broken,did,a,childs,heart,wail,through,the,womans,body,or,did,she,remain,proud,noble,to,the,endinvincible,and,unvanquished,as,once,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One,night,she
,,,,,,,,,,,,,,,,,,,,,,,She,would,be,in,the,next,selection,and,then,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,with,fear,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Down,she
,,,,,,,,,,,,,,,,,,,,Down,she,scrambled,under,the,miserable,straw,infested,with,vermin,and,down,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erica,Oh,my,god,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,She,liked,me,and,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,How,could,she
,,,,,,,,,,,,,,,,,,,,,,At,first,Erica,asked,What,is,her,number,and,then,she
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Today,she
