,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessurun,Cardozo,on,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,delegates,of,the,different,Societies,mixed,amicably,and,brought,their,good,wishes,to,Rabbi,Cardozo,for,the,success,of,his
He,was,very,glad,to,see,the,excellent,cooperation,that,existed,between,the,new,Sephardic,Community,and,the,oldest,Sephardic,Congregation,of,America,Congregation,Shearith,Israel,evidenced,by,the,presence,of,leaders,and,members,of,this,congregation,and,also,by,its,willingness,to,permit,Rabbi,Cardozo,to,give,a,great,part,of,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabbi,Cardozo,in,his
,,,,,,,,,,,,,,,,,,,,,,He,was,fully,aware,of,the,great,task,which,was,ahead,of,him,but,he,was,glad,to,do,this,work,for,he,knew,Rabbi,Orvadia,well,and,fully,understood,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,paid,tribute,to,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,paid,tribute,to,his,memory,and,asked,God,‘,s,blessings,on,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,native,of,Holland,he,would,be,able,to,deal,with,all,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,Dutch,may,be,cold,and,cool,but,he,assured,them,that,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,was,proud,of,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,His,thoughts,went,out,to,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,also,appealed,to,all,those,present,to,assist,him,in,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before,leaving,Rabbi,Cardozo,thanked,Rabbi,Kassin,for,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Before,leaving,Rabbi,Cardozo,thanked,Rabbi,Kassin,for,his,very,friendly,reception,and,complimented,him,on,the,fine,work,done,by,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nathan,for,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,particularly,referred,to,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taking,as,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob,divided,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In,the,depth,of,the,night,he,fought,with,superhuman,powers,but,he,prevailed,and,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For,thou,has,fought,with,God,and,with,man,and,thou,hast,prevailed,Jacob,‘,s,strength,was,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,For,thou,has,fought,with,God,and,with,man,and,thou,hast,prevailed,Jacob,‘,s,strength,was,his,faith,in,God,and,his
,,,,,,,,,,,,,,,,,,,,,,,,,,For,thou,has,fought,with,God,and,with,man,and,thou,hast,prevailed,Jacob,‘,s,strength,was,his,faith,in,God,and,his,belief,that,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,is,obvious,that,when,a,teacher,gets,a,low,salary,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ovadia,Farash,members,of,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,was,Judah,Macabee,and,Matathias,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam,Cohen,and,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,expressed,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niko,las,Lelys,the,Greek,Consul,who,expressed,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,reminded,his
,,,,,,,,,,,,,,,,,He,referred,to,the,portion,of,the,week,which,was,read,the,previous,Saturday,which,spoke,of,the,famine,in,Egypt,and,in,which,Joseph,said,that,he,was,sent,away,by,God,to,save,his
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He,dare,not,think,of,conditions,in,his
